time_th,open,high,low,close,tick_volume,tr,atr14,range,body,upper_wick,lower_wick,close_pos,swing_high,swing_low,structure_event,bos_up,bos_dn,choch_up,choch_dn,ema20,ema50,pmh,pml,pmc,sweep_prev_high,sweep_prev_low
2023-02-19T07:00:00+0700,1.05958,1.06139,1.05357,1.05457,59848,0.00782000000000016,0.00782000000000016,0.00782000000000016,0.005009999999999959,0.0018100000000000893,0.001000000000000112,0.1278772378516741,0,0,,0,0,0,0,1.05457,1.05457,,,,0,0
2023-02-26T07:00:00+0700,1.05443,1.0691,1.05326,1.06348,264415,0.015839999999999854,0.011830000000000007,0.015839999999999854,0.009050000000000002,0.005619999999999958,0.0011699999999998933,0.6452020202020196,0,0,,0,0,0,0,1.0554185714285713,1.054919411764706,,,,0,0
2023-03-05T07:00:00+0700,1.06268,1.07002,1.05241,1.06422,276520,0.017609999999999904,0.01375666666666664,0.017609999999999904,0.0015399999999998748,0.005800000000000027,0.010270000000000001,0.6706416808631426,0,0,,0,0,0,0,1.0562568027210884,1.05528414071511,1.0691,1.05326,1.06348,1,1
2023-03-12T07:00:00+0700,1.06836,1.07594,1.05156,1.06664,412725,0.024379999999999846,0.01641249999999994,0.024379999999999846,0.0017199999999999438,0.00757999999999992,0.015079999999999982,0.6185397867104215,0,1,,0,0,0,0,1.0572456786524134,1.0557294685302037,1.0691,1.05326,1.06348,1,1
2023-03-19T07:00:00+0700,1.06878,1.09292,1.06309,1.07581,294188,0.0298299999999998,0.01909599999999991,0.0298299999999998,0.00702999999999987,0.01710999999999996,0.005689999999999973,0.4264163593697595,0,0,,0,0,0,0,1.0590137092569454,1.0565169403525487,1.0691,1.05326,1.06348,0,0
2023-03-26T07:00:00+0700,1.07744,1.0925799999999999,1.07446,1.08357,271765,0.018119999999999914,0.018933333333333247,0.018119999999999914,0.006129999999999969,0.009009999999999962,0.0029799999999999827,0.5027593818984545,0,0,,0,0,0,0,1.0613524036134268,1.0575778446524486,1.0691,1.05326,1.06348,0,0
2023-04-02T07:00:00+0700,1.08383,1.09728,1.07877,1.08963,254519,0.018510000000000026,0.018872857142857073,0.018510000000000026,0.005800000000000027,0.007649999999999935,0.0050600000000000644,0.5867098865478161,0,0,,0,0,0,0,1.0640455080311957,1.0588347919209802,1.09292,1.05156,1.08357,1,0
2023-04-09T07:00:00+0700,1.08937,1.10754,1.0830899999999999,1.09854,215843,0.024450000000000083,0.01956999999999995,0.024450000000000083,0.009170000000000122,0.008999999999999897,0.006280000000000063,0.631901840490803,0,0,,0,0,0,0,1.0673306977425103,1.0603918589044712,1.09292,1.05156,1.08357,0,0
2023-04-16T07:00:00+0700,1.09873,1.09993,1.09087,1.09878,203173,0.009060000000000068,0.018402222222222184,0.009060000000000068,5.0000000000105516e-05,0.0011499999999999844,0.007859999999999978,0.8730684326710844,0,0,,0,0,0,0,1.0703258693860809,1.061897276202335,1.09292,1.05156,1.08357,0,0
2023-04-23T07:00:00+0700,1.09898,1.10946,1.09621,1.10124,237418,0.013249999999999984,0.017886999999999965,0.013249999999999984,0.0022599999999999287,0.008219999999999894,0.0027700000000001612,0.3796226415094412,1,0,,0,0,0,0,1.0732700723016924,1.063440128115969,1.09292,1.05156,1.08357,0,0
