time_th,open,high,low,close,tick_volume,tr,atr14,range,body,upper_wick,lower_wick,close_pos,swing_high,swing_low,structure_event,bos_up,bos_dn,choch_up,choch_dn,ema20,ema50,pwh,pwl,pwc,sweep_prev_high,sweep_prev_low
2022-11-30T07:00:00+0700,1.03263,1.04283,1.02898,1.04052,82502,0.013849999999999918,0.013849999999999918,0.013849999999999918,0.007889999999999953,0.0023100000000000342,0.003649999999999931,0.8332129963898882,0,0,,0,0,0,0,1.04052,1.04052,,,,0,0
2022-12-01T07:00:00+0700,1.0404,1.05334,1.0393,1.05131,92840,0.014040000000000052,0.013944999999999985,0.014040000000000052,0.010909999999999975,0.0020299999999999763,0.001100000000000101,0.8554131054131077,0,0,,0,0,0,0,1.041547619047619,1.0409431372549018,,,,0,0
2022-12-02T07:00:00+0700,1.05147,1.05446,1.04372,1.05405,84375,0.010739999999999972,0.012876666666666647,0.010739999999999972,0.0025800000000000267,0.00041000000000002146,0.007749999999999924,0.961824953445063,0,0,,0,0,0,0,1.0427383219954647,1.0414571318723567,,,,0,0
2022-12-05T07:00:00+0700,1.05299,1.05943,1.04798,1.0485,77620,0.011450000000000182,0.012520000000000031,0.011450000000000182,0.004490000000000105,0.006440000000000001,0.000520000000000076,0.04541484716157796,1,0,,0,0,0,0,1.0432870532339917,1.041733322779323,,,,0,0
2022-12-06T07:00:00+0700,1.04885,1.05324,1.0459,1.04651,75495,0.007339999999999902,0.011484000000000005,0.007339999999999902,0.0023400000000000087,0.004389999999999894,0.0006099999999999994,0.08310626702997378,0,0,,0,0,0,0,1.0435940005450401,1.0419206434546437,1.05943,1.02898,1.0485,0,0
2022-12-07T07:00:00+0700,1.04606,1.05491,1.04429,1.05081,73385,0.010620000000000074,0.011340000000000017,0.010620000000000074,0.004750000000000032,0.0040999999999999925,0.0017700000000000493,0.6139359698681767,0,1,,0,0,0,0,1.0442812385883695,1.0422692456721088,1.05943,1.02898,1.0485,0,0
2022-12-08T07:00:00+0700,1.05083,1.05643,1.04893,1.05563,70900,0.007500000000000062,0.010791428571428594,0.007500000000000062,0.0048000000000001375,0.0007999999999999119,0.0019000000000000128,0.893333333333346,0,0,,0,0,0,0,1.045362073008525,1.0427931968222222,1.05943,1.02898,1.0485,0,0
2022-12-09T07:00:00+0700,1.05569,1.05878,1.051,1.05313,67889,0.00778000000000012,0.010415000000000035,0.00778000000000012,0.0025600000000001177,0.003090000000000037,0.0021299999999999653,0.2737789203084746,0,0,,0,0,0,0,1.0461018755791416,1.0431985616527233,1.05943,1.02898,1.0485,0,0
2022-12-12T07:00:00+0700,1.05271,1.05795,1.05057,1.05325,58895,0.007379999999999942,0.010077777777777804,0.007379999999999942,0.0005399999999999849,0.0046999999999999265,0.0021400000000000308,0.36314363143631934,0,0,,0,0,0,0,1.046782649333509,1.0435927357055577,1.05943,1.02898,1.0485,0,0
2022-12-13T07:00:00+0700,1.05284,1.06729,1.05276,1.0631599999999999,73622,0.014530000000000154,0.010523000000000038,0.014530000000000154,0.010319999999999885,0.004130000000000189,8.000000000008001e-05,0.7157604955264869,0,0,BOS_UP,1,0,0,0,1.048342397016032,1.044360079403379,1.05878,1.04429,1.05325,0,0
