time_th,open,high,low,close,tick_volume,tr,atr14,range,body,upper_wick,lower_wick,close_pos,swing_high,swing_low,structure_event,bos_up,bos_dn,choch_up,choch_dn,ema20,ema50,pdh,pdl,pdc,sweep_prev_high,sweep_prev_low
2025-09-16T23:00:00+0700,1.18043,1.18712,1.18038,1.18642,13068,0.006739999999999968,0.006739999999999968,0.006739999999999968,0.00598999999999994,0.0006999999999999229,5.0000000000105516e-05,0.8961424332344323,0,0,,0,0,0,0,1.18642,1.18642,,,,0,0
2025-09-17T03:00:00+0700,1.1864,1.1877900000000001,1.18577,1.1865700000000001,6269,0.002020000000000133,0.0043800000000000505,0.002020000000000133,0.00017000000000022553,0.0012199999999999989,0.0006299999999999084,0.3960396039604363,0,0,,0,0,0,0,1.1864342857142858,1.1864258823529412,1.18712,1.18038,1.18642,1,0
2025-09-17T07:00:00+0700,1.18652,1.18726,1.1856200000000001,1.18578,2697,0.0016399999999998638,0.003466666666666655,0.0016399999999998638,0.0007399999999999629,0.0007399999999999629,0.00015999999999993797,0.09756097560972637,0,0,,0,0,0,0,1.1863719727891158,1.186400553633218,1.18712,1.18038,1.18642,1,0
2025-09-17T11:00:00+0700,1.18578,1.18588,1.18508,1.18535,4003,0.0008000000000001339,0.0028000000000000247,0.0008000000000001339,0.0004300000000001525,9.999999999998899e-05,0.00026999999999999247,0.3374999999999341,0,0,,0,0,0,0,1.1862746420472952,1.1863593554515233,1.18712,1.18038,1.18642,0,0
2025-09-17T15:00:00+0700,1.1853799999999999,1.18592,1.18376,1.1847699999999999,6460,0.002160000000000162,0.002672000000000052,0.002160000000000162,0.0006099999999999994,0.000540000000000207,0.0010099999999999554,0.46759259259253694,0,0,,0,0,0,0,1.1861313428046956,1.1862970277867577,1.18712,1.18038,1.18642,0,0
2025-09-17T19:00:00+0700,1.1847699999999999,1.18493,1.18324,1.1843,7147,0.0016899999999999693,0.0025083333333333715,0.0016899999999999693,0.00046999999999997044,0.00016000000000016001,0.0010599999999998388,0.6272189349111587,0,0,,0,0,0,0,1.1859569292042482,1.1862187129715906,1.18712,1.18038,1.18642,0,0
2025-09-17T23:00:00+0700,1.18435,1.18588,1.18419,1.18527,8393,0.0016899999999999693,0.0023914285714286,0.0016899999999999693,0.0009200000000000319,0.0006099999999999994,0.00015999999999993797,0.6390532544378636,0,0,,0,0,0,0,1.185891507375272,1.186181508541332,1.18712,1.18038,1.18642,0,0
2025-09-18T03:00:00+0700,1.18525,1.1918,1.1807400000000001,1.18121,18189,0.011059999999999848,0.003475000000000006,0.011059999999999848,0.0040399999999998215,0.006550000000000056,0.00046999999999997044,0.042495479204337876,1,0,,0,0,0,0,1.185445649530008,1.185986547422064,1.1877900000000001,1.18324,1.18527,1,0
2025-09-18T07:00:00+0700,1.181,1.18283,1.181,1.18248,3848,0.0018299999999999983,0.003292222222222227,0.0018299999999999983,0.0014799999999999258,0.0003500000000000725,0.0,0.8087431693988674,0,0,,0,0,0,0,1.1851632067176263,1.1858490357584537,1.1877900000000001,1.18324,1.18527,0,0
2025-09-18T11:00:00+0700,1.18247,1.18282,1.17932,1.17945,5442,0.0035000000000000586,0.0033130000000000104,0.0035000000000000586,0.0030199999999998006,0.0003500000000000725,0.00013000000000018552,0.037142857142909526,0,0,,0,0,0,0,1.184619091792138,1.1855980931796908,1.1877900000000001,1.18324,1.18527,0,0
2025-09-18T15:00:00+0700,1.17945,1.18382,1.178,1.18273,9875,0.005820000000000158,0.003540909090909115,0.005820000000000158,0.0032799999999999496,0.0010900000000000354,0.0014500000000001734,0.8127147766323014,0,0,,0,0,0,0,1.184439178288125,1.18548561893735,1.1877900000000001,1.18324,1.18527,0,0
2025-09-18T19:00:00+0700,1.18273,1.18478,1.17947,1.17951,11187,0.005309999999999926,0.003688333333333349,0.005309999999999926,0.0032200000000000006,0.0020499999999998852,4.0000000000040004e-05,0.007532956685506697,1,0,,0,0,0,0,1.183969732736875,1.1852512809398068,1.1877900000000001,1.18324,1.18527,0,0
2025-09-18T23:00:00+0700,1.17951,1.17958,1.17497,1.17865,15046,0.004610000000000003,0.003759230769230784,0.004610000000000003,0.0008600000000000829,7.00000000000145e-05,0.0036799999999999056,0.7982646420824085,0,1,,0,0,0,0,1.1834630915238393,1.1849924071774616,1.1877900000000001,1.18324,1.18527,0,0
2025-09-19T03:00:00+0700,1.17865,1.17934,1.17804,1.17847,5809,0.0013000000000000789,0.0035835714285714477,0.0013000000000000789,0.000180000000000069,0.0006900000000000794,0.00042999999999993044,0.3307692307691572,0,0,,0,0,0,0,1.1829875589977594,1.1847366265038355,1.1918,1.17497,1.17865,0,0
2025-09-19T07:00:00+0700,1.17822,1.17901,1.17749,1.1786,3790,0.0015199999999999658,0.003210714285714305,0.0015199999999999658,0.00038000000000004697,0.0004099999999997994,0.0007300000000001194,0.7302631578948627,0,0,,0,0,0,0,1.1825696962360681,1.1844959744840773,1.1918,1.17497,1.17865,0,0
