time_utc,open,high,low,close,tick_volume,spread,real_volume
2024-11-19T00:00:00Z,1.05969,1.06005,1.05235,1.05929,50215,10,0
2024-11-20T00:00:00Z,1.05928,1.06093,1.05063,1.05422,41168,10,0
2024-11-21T00:00:00Z,1.05422,1.05544,1.04617,1.0473,47528,10,0
2024-11-22T00:00:00Z,1.04729,1.04974,1.03333,1.04141,54028,10,0
2024-11-25T00:00:00Z,1.04795,1.05297,1.04486,1.0492,55672,10,0
2024-11-26T00:00:00Z,1.0492,1.05443,1.04245,1.04808,61593,10,0
2024-11-27T00:00:00Z,1.04808,1.05872,1.04739,1.05643,55150,10,0
2024-11-28T00:00:00Z,1.05643,1.05691,1.05271,1.05464,35565,10,0
2024-11-29T00:00:00Z,1.05464,1.05968,1.0541,1.0574,55088,10,0
2024-12-02T00:00:00Z,1.05652,1.05691,1.04601,1.04962,60942,10,0
2024-12-03T00:00:00Z,1.04962,1.05346,1.04803,1.05049,51445,10,0
2024-12-04T00:00:00Z,1.0505,1.05437,1.04719,1.05074,55624,10,0
2024-12-05T00:00:00Z,1.0508,1.05891,1.05046,1.05827,45547,10,0
2024-12-06T00:00:00Z,1.05827,1.06292,1.05418,1.05668,46145,10,0
2024-12-09T00:00:00Z,1.05591,1.0594,1.05316,1.05521,41272,10,0
2024-12-10T00:00:00Z,1.05521,1.05676,1.0498,1.0526200000000001,41004,10,0
2024-12-11T00:00:00Z,1.0526200000000001,1.05389,1.04798,1.04922,48783,10,0
2024-12-12T00:00:00Z,1.04922,1.05304,1.04633,1.04648,51277,10,0
2024-12-13T00:00:00Z,1.04648,1.05237,1.04527,1.04962,42763,10,0
2024-12-16T00:00:00Z,1.04834,1.05243,1.04742,1.05092,39647,10,0
2024-12-17T00:00:00Z,1.05092,1.05339,1.04787,1.04898,41337,10,0
2024-12-18T00:00:00Z,1.04898,1.0512299999999999,1.03437,1.03509,49069,10,0
2024-12-19T00:00:00Z,1.03509,1.04219,1.03465,1.03609,60353,10,0
2024-12-20T00:00:00Z,1.03578,1.0447,1.03426,1.04281,51143,10,0
2024-12-23T00:00:00Z,1.0429599999999999,1.04449,1.03837,1.04039,35865,10,0
2024-12-24T00:00:00Z,1.04039,1.04096,1.03831,1.03895,26436,10,0
2024-12-26T00:00:00Z,1.03947,1.04294,1.039,1.04149,24710,10,0
2024-12-27T00:00:00Z,1.04148,1.0443500000000001,1.04046,1.04201,34006,10,0
2024-12-30T00:00:00Z,1.04177,1.0458,1.03713,1.04057,35942,10,0
2024-12-31T00:00:00Z,1.04057,1.0424,1.03434,1.0352,38896,10,0
2025-01-02T00:00:00Z,1.03504,1.03751,1.02241,1.02563,47303,10,0
2025-01-03T00:00:00Z,1.02563,1.03094,1.02546,1.03058,36791,10,0
2025-01-06T00:00:00Z,1.03009,1.04363,1.02949,1.03883,55031,10,0
2025-01-07T00:00:00Z,1.03879,1.04339,1.03385,1.0339,47569,10,0
2025-01-08T00:00:00Z,1.0339,1.03572,1.02726,1.03171,50153,10,0
2025-01-09T00:00:00Z,1.03171,1.0321,1.02832,1.02981,35682,10,0
2025-01-10T00:00:00Z,1.02981,1.03114,1.02128,1.02403,48383,10,0
2025-01-13T00:00:00Z,1.02297,1.02494,1.01773,1.02433,48704,10,0
