time_th,open,high,low,close,tick_volume,tr,atr14,range,body,upper_wick,lower_wick,close_pos,swing_high,swing_low,structure_event,bos_up,bos_dn,choch_up,choch_dn,ema20,ema50,pdh,pdl,pdc,sweep_prev_high,sweep_prev_low
2025-11-03T07:00:00+0700,1.15293,1.15373,1.15211,1.15266,5487,0.0016199999999999548,0.0016199999999999548,0.0016199999999999548,0.00026999999999999247,0.0007999999999999119,0.0005500000000000504,0.33950617283954676,0,0,,0,0,0,0,1.15266,1.15266,,,,0,0
2025-11-03T11:00:00+0700,1.15266,1.15371,1.15259,1.15346,2915,0.0011200000000000099,0.001584285714285673,0.0011200000000000099,0.0007999999999999119,0.0002500000000000835,7.00000000000145e-05,0.7767857142856417,0,0,,0,0,0,0,1.1527361904761906,1.1526913725490195,,,,0,0
2025-11-03T15:00:00+0700,1.15346,1.15408,1.15093,1.15139,6113,0.003149999999999986,0.0016961224489795527,0.003149999999999986,0.0020700000000000163,0.0006200000000000649,0.00045999999999990493,0.14603174603171648,1,0,,0,0,0,0,1.1526079818594104,1.152640338331411,,,,0,0
2025-11-03T19:00:00+0700,1.15139,1.15215,1.15054,1.15106,6642,0.0016100000000001113,0.0016899708454810212,0.0016100000000001113,0.00032999999999994145,0.0007600000000000939,0.000520000000000076,0.3229813664596522,0,0,,0,0,0,0,1.152460555015657,1.1525783642791987,,,,0,0
2025-11-03T23:00:00+0700,1.15106,1.15373,1.1504699999999999,1.15266,8621,0.0032600000000000406,0.0018021157850895227,0.0032600000000000406,0.0016000000000000458,0.0010699999999999044,0.0005900000000000905,0.6717791411043279,0,0,,0,0,0,0,1.1524795497760707,1.1525815656800145,,,,0,0
2025-11-04T03:00:00+0700,1.15267,1.15305,1.15154,1.15176,3468,0.0015099999999999003,0.0017812503718688353,0.0015099999999999003,0.0009100000000001884,0.0003799999999998249,0.00021999999999988695,0.14569536423834534,0,0,,0,0,0,0,1.1524110212259686,1.152549347418053,1.15408,1.1504699999999999,1.15266,0,0
2025-11-04T07:00:00+0700,1.15164,1.15204,1.14978,1.15095,3581,0.0022599999999999287,0.001815446773878199,0.0022599999999999287,0.0006900000000000794,0.00039999999999995595,0.0011699999999998933,0.517699115044217,0,1,,0,0,0,0,1.152271876347305,1.1524866279114627,1.15408,1.1504699999999999,1.15266,0,1
2025-11-04T11:00:00+0700,1.15095,1.15171,1.15045,1.15121,3789,0.0012600000000000389,0.0017757720043154734,0.0012600000000000389,0.000260000000000149,0.0004999999999999449,0.0004999999999999449,0.6031746031746591,0,0,,0,0,0,0,1.1521707452666092,1.1524365640717975,1.15408,1.1504699999999999,1.15266,0,1
2025-11-04T15:00:00+0700,1.15121,1.15331,1.14995,1.15006,7612,0.0033600000000000296,0.0018889311468643704,0.0033600000000000296,0.0011499999999999844,0.0020999999999999908,0.0001100000000000545,0.03273809523811117,1,0,,0,0,0,0,1.1519697219078844,1.1523433654807467,1.15408,1.1504699999999999,1.15266,0,0
2025-11-04T19:00:00+0700,1.15006,1.15095,1.14764,1.14917,6967,0.003309999999999924,0.0019904360649454812,0.003309999999999924,0.0008900000000000574,0.0008899999999998354,0.0015300000000000313,0.46223564954684787,0,0,BOS_DN,0,1,0,0,1.151703081726181,1.1522189197756194,1.15408,1.1504699999999999,1.15266,0,0
