time_th,open,high,low,close,tick_volume
2023-10-12T07:00:00+0700,1.0617,1.06393,1.0525,1.05254,47050
2023-10-13T07:00:00+0700,1.05252,1.0558,1.04951,1.05039,46928
2023-10-16T07:00:00+0700,1.05056,1.05622,1.05027,1.05575,38959
2023-10-17T07:00:00+0700,1.05571,1.05944,1.05324,1.05742,43989
2023-10-18T07:00:00+0700,1.05742,1.05937,1.05227,1.05336,46626
2023-10-19T07:00:00+0700,1.05336,1.06163,1.05277,1.05795,53628
2023-10-20T07:00:00+0700,1.0576699999999999,1.06032,1.05647,1.0591,42733
2023-10-23T07:00:00+0700,1.05893,1.06774,1.0571,1.0667,41250
2023-10-24T07:00:00+0700,1.0667,1.06935,1.05826,1.0587,43063
2023-10-25T07:00:00+0700,1.0587,1.06062,1.05631,1.05639,40367
2023-10-26T07:00:00+0700,1.05638,1.05687,1.05221,1.05599,46723
2023-10-27T07:00:00+0700,1.05596,1.05966,1.05349,1.05614,40886
2023-10-30T07:00:00+0700,1.05602,1.06246,1.05467,1.06123,37618
2023-10-31T07:00:00+0700,1.06125,1.06744,1.05571,1.05727,46125
2023-11-01T07:00:00+0700,1.05726,1.05801,1.05167,1.05678,47626
2023-11-02T07:00:00+0700,1.05669,1.06671,1.05602,1.0619,43582
2023-11-03T07:00:00+0700,1.06185,1.07463,1.06118,1.07282,43142
2023-11-06T07:00:00+0700,1.07207,1.07558,1.07138,1.07147,33705
2023-11-07T07:00:00+0700,1.07134,1.07225,1.06637,1.06971,38867
2023-11-08T07:00:00+0700,1.06953,1.07156,1.06588,1.07063,38157
2023-11-09T07:00:00+0700,1.07035,1.0725,1.06597,1.0667200000000001,42677
2023-11-10T07:00:00+0700,1.06661,1.06923,1.06557,1.06814,37385
2023-11-13T07:00:00+0700,1.06802,1.07057,1.06646,1.06958,32960
2023-11-14T07:00:00+0700,1.06945,1.0887,1.06897,1.08761,41100
2023-11-15T07:00:00+0700,1.08749,1.08854,1.08312,1.08443,41392
